Dia;Producto;Latitud;Longitud;PVP;VentasN;Nombre;Day;Month;Year;Weekday;Fiesta
20/04/2016;95;43,31748953;-8,47923782;1,214;0,154439612;ES4;20;abril;2016;Miercoles;
20/04/2016;GOA;43,31748953;-8,47923782;1,034;0,49372046;ES4;20;abril;2016;Miercoles;
21/04/2016;95;43,31748953;-8,47923782;1,204;0,124778203;ES4;21;abril;2016;Jueves;
21/04/2016;GOA;43,31748953;-8,47923782;1,044;0,602162355;ES4;21;abril;2016;Jueves;
22/04/2016;95;43,31748953;-8,47923782;1,194;0,115611139;ES4;22;abril;2016;Viernes;
22/04/2016;GOA;43,31748953;-8,47923782;1,054;0,544444591;ES4;22;abril;2016;Viernes;
23/04/2016;95;43,31748953;-8,47923782;1,194;0,195848133;ES4;23;abril;2016;Sabado;
23/04/2016;GOA;43,31748953;-8,47923782;1,064;0,508370517;ES4;23;abril;2016;Sabado;
24/04/2016;95;43,31748953;-8,47923782;1,194;0,169665601;ES4;24;abril;2016;Domingo;
24/04/2016;GOA;43,31748953;-8,47923782;1,064;0,435537545;ES4;24;abril;2016;Domingo;
25/04/2016;95;43,31748953;-8,47923782;1,194;0,170193066;ES4;25;abril;2016;Lunes;
25/04/2016;GOA;43,31748953;-8,47923782;1,064;0,581262656;ES4;25;abril;2016;Lunes;
26/04/2016;95;43,31748953;-8,47923782;1,214;0,115234108;ES4;26;abril;2016;Martes;
26/04/2016;GOA;43,31748953;-8,47923782;1,054;0,533253899;ES4;26;abril;2016;Martes;
27/04/2016;95;43,31748953;-8,47923782;1,214;0,164997095;ES4;27;abril;2016;Miercoles;
27/04/2016;GOA;43,31748953;-8,47923782;1,054;0,518881422;ES4;27;abril;2016;Miercoles;
28/04/2016;95;43,31748953;-8,47923782;1,224;0,128666842;ES4;28;abril;2016;Jueves;
28/04/2016;GOA;43,31748953;-8,47923782;1,064;0,605971684;ES4;28;abril;2016;Jueves;
29/04/2016;95;43,31748953;-8,47923782;1,224;0,171859805;ES4;29;abril;2016;Viernes;
29/04/2016;GOA;43,31748953;-8,47923782;1,074;0,573867445;ES4;29;abril;2016;Viernes;
30/04/2016;95;43,31748953;-8,47923782;1,234;0,204293238;ES4;30;abril;2016;Sabado;
30/04/2016;GOA;43,31748953;-8,47923782;1,084;0,662145448;ES4;30;abril;2016;Sabado;
01/05/2016;95;43,31748953;-8,47923782;1,234;0,167835839;ES4;1;mayo;2016;Domingo;
01/05/2016;GOA;43,31748953;-8,47923782;1,084;0,48593563;ES4;1;mayo;2016;Domingo;
02/05/2016;95;43,31748953;-8,47923782;1,234;0,204259878;ES4;2;mayo;2016;Lunes;
02/05/2016;GOA;43,31748953;-8,47923782;1,084;0,668579514;ES4;2;mayo;2016;Lunes;
03/05/2016;95;43,31748953;-8,47923782;1,234;0,147032443;ES4;3;mayo;2016;Martes;
03/05/2016;GOA;43,31748953;-8,47923782;1,084;0,56541164;ES4;3;mayo;2016;Martes;
04/05/2016;95;43,31748953;-8,47923782;1,224;0,116571024;ES4;4;mayo;2016;Miercoles;
04/05/2016;GOA;43,31748953;-8,47923782;1,074;0,601386893;ES4;4;mayo;2016;Miercoles;
05/05/2016;95;43,31748953;-8,47923782;1,21;0,122764017;ES4;5;mayo;2016;Jueves;
05/05/2016;GOA;43,31748953;-8,47923782;1,054;0,551234916;ES4;5;mayo;2016;Jueves;
06/05/2016;95;43,31748953;-8,47923782;1,204;0,141946623;ES4;6;mayo;2016;Viernes;
06/05/2016;GOA;43,31748953;-8,47923782;1,054;0,569169985;ES4;6;mayo;2016;Viernes;
07/05/2016;95;43,31748953;-8,47923782;1,204;0,177135714;ES4;7;mayo;2016;Sabado;
